employee_id,work_mode,hours_worked_per_week,productivity_score,well_being_score,department,team,join_year,overtime_flag,tenure_years,tenure_group,workload_level,high_productivity,well_being_risk
1,Remote,23.0,94.0,68.0,Finance,C,2016,False,10,6–10 yrs,Light,True,False
2,In-Office,33.0,81.0,90.0,HR,D,2019,False,7,6–10 yrs,Light,True,False
3,In-Office,55.0,77.0,73.0,Sales,D,2020,False,6,6–10 yrs,Heavy,True,False
4,Hybrid,47.0,80.0,74.0,Operations,A,2022,True,4,3–5 yrs,Heavy,True,False
5,Remote,39.0,75.0,73.0,HR,C,2022,False,4,3–5 yrs,Normal,True,False
6,Remote,36.0,62.0,77.0,Operations,Nan,2019,False,7,6–10 yrs,Normal,False,False
7,Remote,32.0,67.0,79.0,Operations,C,2023,False,3,3–5 yrs,Light,False,False
8,In-Office,55.0,80.0,74.0,HR,B,2019,True,7,6–10 yrs,Heavy,True,False
9,Hybrid,36.0,82.0,64.0,Sales,A,2023,True,3,3–5 yrs,Normal,True,False
10,In-Office,43.0,77.0,59.0,IT,A,2021,False,5,3–5 yrs,Normal,True,False
11,Remote,39.0,65.0,74.0,Operations,C,2020,True,6,6–10 yrs,Normal,False,False
12,In-Office,47.0,58.0,72.0,Operations,D,2018,False,8,6–10 yrs,Heavy,False,False
13,In-Office,45.0,77.0,70.0,Sales,C,2016,True,10,6–10 yrs,Normal,True,False
14,Remote,46.0,77.0,75.0,Sales,Nan,2022,True,4,3–5 yrs,Heavy,True,False
15,Remote,39.0,80.0,78.0,Finance,D,2020,False,6,6–10 yrs,Normal,True,False
16,Remote,38.0,70.0,73.0,Sales,D,2017,True,9,6–10 yrs,Normal,False,False
17,Remote,30.0,90.0,69.0,Operations,C,2021,False,5,3–5 yrs,Light,True,False
18,Hybrid,38.0,68.0,79.0,HR,B,2021,False,5,3–5 yrs,Normal,False,False
19,Hybrid,40.0,84.0,67.0,IT,D,2020,False,6,6–10 yrs,Normal,True,False
20,Remote,40.0,69.0,93.0,Finance,A,2016,True,10,6–10 yrs,Normal,False,False
21,Hybrid,35.0,76.0,77.0,HR,B,2022,True,4,3–5 yrs,Light,True,False
22,Remote,40.0,75.0,77.0,IT,D,2015,False,11,10+ yrs,Normal,True,False
23,Remote,38.0,75.0,85.0,IT,C,2015,False,11,10+ yrs,Normal,True,False
24,Remote,41.0,72.0,68.0,IT,D,2020,True,6,6–10 yrs,Normal,False,False
25,Hybrid,41.0,95.0,66.0,HR,A,2019,False,7,6–10 yrs,Normal,True,False
26,In-Office,56.0,87.0,63.0,Finance,B,2023,True,3,3–5 yrs,Heavy,True,False
27,Remote,41.0,89.0,75.0,Finance,Nan,2021,True,5,3–5 yrs,Normal,True,False
28,Hybrid,41.0,69.0,64.0,IT,A,2016,True,10,6–10 yrs,Normal,False,False
29,Hybrid,38.0,64.0,72.0,HR,D,2021,False,5,3–5 yrs,Normal,False,False
30,Remote,41.0,78.0,67.0,IT,D,2017,False,9,6–10 yrs,Normal,True,False
31,Hybrid,44.0,81.0,56.0,Sales,B,2015,True,11,10+ yrs,Normal,True,False
32,Remote,40.0,86.0,70.0,Finance,C,2022,False,4,3–5 yrs,Normal,True,False
33,Remote,48.0,79.0,74.0,Operations,C,2019,False,7,6–10 yrs,Heavy,True,False
34,In-Office,45.0,77.0,69.0,IT,A,2022,True,4,3–5 yrs,Normal,True,False
35,In-Office,49.0,64.0,70.0,Sales,Nan,2019,True,7,6–10 yrs,Heavy,False,False
36,In-Office,35.0,71.0,60.0,Finance,A,2016,False,10,6–10 yrs,Light,False,False
37,Remote,34.0,86.0,86.0,HR,B,2015,True,11,10+ yrs,Light,True,False
